Atom positions and velocities over time grids from ground truth
 3.7731  0.6748  1.5251  1.4653  3.8809  4.2302  4.6916  3.0292  4.8368  5.2308
 3.7616  0.6840  1.5287  1.4695  3.8918  4.2324  4.6957  3.0228  4.8243  5.2313
 3.7503  0.6919  1.5325  1.4749  3.9036  4.2348  4.7001  3.0164  4.8116  5.2318
 3.7390  0.6983  1.5364  1.4817  3.9162  4.2372  4.7046  3.0100  4.7988  5.2320

 5.0739  0.6243  2.5573  4.0759  4.3439  4.9265  4.2102  1.6175  5.3136  0.9281
 5.0637  0.6099  2.5494  4.0860  4.3325  4.9507  4.1941  1.6328  5.2959  0.9353
 5.0555  0.5958  2.5419  4.0957  4.3192  4.9751  4.1782  1.6482  5.2781  0.9425
 5.0490  0.5823  2.5347  4.1050  4.3047  4.9997  4.1626  1.6635  5.2602  0.9496

 2.5044  1.6469  0.4437  5.1888  0.2637  5.2362  1.0270  2.3923  3.6807  2.6343
 2.4974  1.6321  0.4622  5.1956  0.2615  5.2259  1.0286  2.3928  3.6933  2.6221
 2.4903  1.6171  0.4809  5.2021  0.2594  5.2156  1.0302  2.3933  3.7045  2.6099
 2.4831  1.6019  0.4999  5.2086  0.2571  5.2053  1.0319  2.3938  3.7141  2.5976

 3.9233  5.2615  5.5975  1.9276  4.8323  1.3248  4.4433  0.9321  1.3922  1.7151
 3.9208  5.2870  5.5920  1.9152  4.8220  1.3224  4.4562  0.9487  1.3994  1.7134
 3.9182  5.3123  5.5864  1.9032  4.8119  1.3192  4.4722  0.9653  1.4065  1.7117
 3.9156  5.3377  5.5806  1.8917  4.8020  1.3150  4.4913  0.9820  1.4133  1.7098

 1.5290  2.9142  3.5483  2.8978  3.7294  4.5652  3.3680  4.5285  5.3454  0.6909
 1.5290  2.9190  3.5438  2.8918  3.7479  4.5624  3.3796  4.5280  5.3399  0.6948
 1.5289  2.9236  3.5395  2.8866  3.7665  4.5577  3.3909  4.5275  5.3364  0.6986
 1.5287  2.9281  3.5353  2.8819  3.7851  4.5509  3.4019  4.5272  5.3350  0.7022

 5.0202  4.6980  1.0346  0.1229  0.6656  1.0243  2.6620  0.2466  2.9930  5.0925
 5.0181  4.6728  1.0417  0.1019  0.6578  1.0187  2.6708  0.2681  2.9961  5.1003
 5.0160  4.6478  1.0486  0.0808  0.6498  1.0147  2.6795  0.2882  2.9992  5.1081
 5.0137  4.6231  1.0554  0.0595  0.6417  1.0125  2.6882  0.3066  3.0024  5.1159

 3.6594  4.3670  3.6264  5.0952  4.7152  1.8345  4.9169  1.5656  0.0891  0.7274
 3.6647  4.3672  3.6236  5.0816  4.7047  1.8473  4.8982  1.5738  0.1018  0.7199
 3.6670  4.3677  3.6211  5.0681  4.6940  1.8609  4.8794  1.5816  0.1121  0.7124
 3.6662  4.3683  3.6189  5.0545  4.6832  1.8754  4.8606  1.5889  0.1202  0.7048

 2.1484  5.3177  5.4567  1.1087  2.0706  1.4509  0.2320  2.9993  1.4251  3.7108
 2.1537  5.3144  5.4736  1.1020  2.0787  1.4609  0.2300  3.0132  1.4193  3.7031
 2.1591  5.3110  5.4906  1.0950  2.0884  1.4710  0.2280  3.0255  1.4126  3.6957
 2.1647  5.3077  5.5078  1.0879  2.0992  1.4813  0.2260  3.0361  1.4054  3.6885

 3.6253  5.3358  4.9384  3.9481  3.4085  4.0558  3.7293  3.1667  2.7912  2.5003
 3.6313  5.3425  4.9345  3.9589  3.4130  4.0508  3.7221  3.1657  2.7876  2.4923
 3.6391  5.3491  4.9305  3.9697  3.4175  4.0458  3.7150  3.1659  2.7836  2.4830
 3.6485  5.3555  4.9262  3.9803  3.4220  4.0410  3.7079  3.1676  2.7791  2.4720

 5.2745  2.6496  0.6473  3.7968  4.8652  1.0874 -1.1427  0.8553  0.3700  0.4822
 5.2833  2.6490  0.6326  3.7918  4.8563  1.0828 -1.1299  0.7142  0.3820  0.6093
 5.2922  2.6487  0.6192  3.7867  4.8476  1.0782 -1.1188  0.5630  0.4066  0.7463
 5.3012  2.6487  0.6068  3.7815  4.8392  1.0736 -1.1106  0.4110  0.4497  0.8835

 1.1365  0.2261  0.4221 -0.6426 -1.2626  0.0480 -0.9169 -1.4231 -0.7657  0.9883
 1.2162  0.2369  0.4450 -0.6403 -1.2750  0.0335 -0.7347 -1.3815 -0.7357  0.9527
 1.2931  0.2434  0.4682 -0.6382 -1.2835 -0.0099 -0.5905 -1.3295 -0.7062  0.9232
 1.3583  0.2415  0.4918 -0.6363 -1.2839 -0.0766 -0.4820 -1.2684 -0.6774  0.9026

-1.2362  2.4320 -1.5993  1.5308 -1.7752  0.7179 -0.7063 -1.4901  1.8629  0.6679
-1.3915  2.4491 -1.5753  1.5332 -1.7851  0.7178 -0.7155 -1.5087  1.8819  0.6486
-1.4742  2.4584 -1.5478  1.5357 -1.7957  0.7056 -0.7241 -1.5275  1.8981  0.6368
-1.4872  2.4611 -1.5197  1.5385 -1.8072  0.6755 -0.7322 -1.5463  1.9116  0.6332

-0.2180 -1.0288  0.1592  0.0483  1.1918 -1.2216 -0.2515  2.5413 -0.5556 -1.2190
-0.2202 -1.0335  0.1611  0.0519  1.0415 -1.2263 -0.2571  2.5354 -0.5702 -1.1730
-0.2226 -1.0412  0.1630  0.0551  0.8782 -1.2322 -0.2622  2.5294 -0.5837 -1.1065
-0.2254 -1.0530  0.1650  0.0579  0.7079 -1.2395 -0.2667  2.5233 -0.5956 -1.0287

-1.0200 -0.2778  1.4439  1.6589  0.7146 -0.1737 -0.0049  0.4712 -0.4390 -0.5604
-0.9990 -0.3719  1.7564  1.6691  0.6914 -0.1785 -0.0135  0.4534 -0.4248 -0.4969
-0.9756 -0.4724  2.0589  1.6755  0.6677 -0.1836 -0.0180  0.4467 -0.4227 -0.4488
-0.9480 -0.5717  2.3132  1.6742  0.6438 -0.1890 -0.0145  0.4491 -0.4305 -0.4144

 1.8544 -0.3747  1.1452 -0.0472 -0.4510  0.3841 -0.2148 -2.5092  0.7012 -2.1015
 1.8572 -0.5743  1.1141 -0.0390 -0.2446  0.3732 -0.2209 -2.4864  0.6870 -2.1196
 1.8594 -0.7800  1.0783 -0.0228 -0.0421  0.3636 -0.2274 -2.4675  0.6734 -2.1377
 1.8610 -0.9698  1.0362 -0.0019  0.1373  0.3553 -0.2343 -2.4550  0.6602 -2.1552

-0.7881 -0.4823  0.8783  2.0782  0.3103  0.7813  0.3798  0.0347 -0.2606 -1.3562
-0.8076 -0.3066  0.8738  1.9237  0.3137  0.7763  0.0789  0.0534 -0.2381 -1.3567
-0.8259 -0.1064  0.8695  1.7445  0.3172  0.7712 -0.2049  0.0728 -0.2150 -1.3576
-0.8429  0.0984  0.8655  1.5602  0.3209  0.7660 -0.4316  0.0929 -0.1920 -1.3588

-1.0608  1.3191 -1.8735  0.7988  1.1516 -0.7481  0.5346 -0.3346  1.6950 -0.6839
-1.0715  1.4072 -1.8814  0.7530  0.9200 -0.7572  0.5493 -0.3331  1.7095 -0.7052
-1.0775  1.4940 -1.8708  0.7026  0.7062 -0.7608  0.5642 -0.3316  1.7182 -0.7246
-1.0757  1.5772 -1.8337  0.6509  0.5319 -0.7527  0.5791 -0.3300  1.7152 -0.7434

 0.8880  1.0066 -0.2013  1.3104 -0.6264 -0.7561  0.6885  0.6660 -0.3974  1.0789
 1.0260  1.0230 -0.2012  1.1455 -0.6906 -0.7319  0.8601  0.6498 -0.4173  1.0731
 1.1290  1.0521 -0.2013  0.9777 -0.7031 -0.7083  1.0315  0.6348 -0.4373  1.0482
 1.1984  1.0928 -0.2016  0.8249 -0.6568 -0.6855  1.1819  0.6209 -0.4573  0.9966

 0.4466 -0.4973 -0.7142 -0.0373 -0.3794 -0.8611  0.8875 -0.0409 -1.4086 -0.5077
 0.4527 -0.4857 -0.7105  0.0966 -0.4248 -1.0141  0.8913 -0.0184 -1.2872 -0.5154
 0.4583 -0.4753 -0.7085  0.2648 -0.4711 -1.1997  0.8949  0.0042 -1.2089 -0.5225
 0.4634 -0.4669 -0.7080  0.4494 -0.5184 -1.4003  0.8983  0.0271 -1.2018 -0.5287

-0.8823 -0.4610
-0.8522 -0.4593
-0.8212 -0.4580
-0.7903 -0.4570
[ CPUFloatType{4,192} ]
Atom positions and velocities over time grids from prediction
 3.7731  0.6748  1.5251  1.4653  3.8809  4.2302  4.6916  3.0292  4.8368  5.2308
 3.7617  0.6830  1.5291  1.4711  3.8932  4.2327  4.6964  3.0229  4.8240  5.2315
 3.7504  0.6908  1.5329  1.4765  3.9050  4.2350  4.7007  3.0165  4.8113  5.2318
 3.7390  0.6983  1.5364  1.4817  3.9162  4.2372  4.7046  3.0100  4.7988  5.2320

 5.0739  0.6243  2.5572  4.0759  4.3439  4.9265  4.2102  1.6176  5.3136  0.9281
 5.0655  0.6099  2.5498  4.0862  4.3308  4.9517  4.1941  1.6335  5.2955  0.9356
 5.0572  0.5959  2.5423  4.0959  4.3177  4.9761  4.1782  1.6488  5.2777  0.9428
