Atom positions and velocities over time grids from ground truth
 3.7390  0.6983  1.5364  1.4817  3.9162  4.2372  4.7046  3.0100  4.7988  5.2320
 3.7279  0.7031  1.5406  1.4899  3.9295  4.2396  4.7094  3.0036  4.7859  5.2316
 3.7168  0.7065  1.5454  1.4994  3.9433  4.2420  4.7145  2.9973  4.7731  5.2304
 3.7057  0.7085  1.5510  1.5101  3.9576  4.2441  4.7198  2.9909  4.7605  5.2284
 3.6945  0.7093  1.5577  1.5218  3.9722  4.2456  4.7253  2.9846  4.7485  5.2254

 5.0490  0.5823  2.5347  4.1050  4.3047  4.9997  4.1626  1.6635  5.2602  0.9496
 5.0437  0.5692  2.5278  4.1141  4.2897  5.0243  4.1472  1.6789  5.2422  0.9566
 5.0394  0.5569  2.5212  4.1231  4.2749  5.0489  4.1322  1.6943  5.2241  0.9632
 5.0357  0.5452  2.5148  4.1319  4.2609  5.0735  4.1174  1.7097  5.2058  0.9690
 5.0325  0.5342  2.5087  4.1408  4.2480  5.0979  4.1030  1.7252  5.1874  0.9739

 2.4831  1.6019  0.4999  5.2086  0.2571  5.2053  1.0319  2.3938  3.7141  2.5976
 2.4758  1.5865  0.5189  5.2149  0.2549  5.1948  1.0335  2.3944  3.7221  2.5853
 2.4685  1.5710  0.5381  5.2212  0.2526  5.1842  1.0352  2.3950  3.7283  2.5728
 2.4610  1.5553  0.5574  5.2276  0.2503  5.1734  1.0368  2.3956  3.7327  2.5603
 2.4535  1.5394  0.5767  5.2341  0.2480  5.1625  1.0385  2.3962  3.7355  2.5477

 3.9156  5.3377  5.5806  1.8917  4.8020  1.3150  4.4913  0.9820  1.4133  1.7098
 3.9130  5.3629  5.5747  1.8810  4.7924  1.3098  4.5134  0.9988  1.4198  1.7080
 3.9103  5.3881  5.5687  1.8712  4.7831  1.3036  4.5376  1.0155  1.4262  1.7061
 3.9076  5.4133  5.5626  1.8621  4.7741  1.2965  4.5634  1.0320  1.4322  1.7041
 3.9048  5.4383  5.5565  1.8537  4.7656  1.2887  4.5901  1.0479  1.4381  1.7020

 1.5287  2.9281  3.5353  2.8819  3.7851  4.5509  3.4019  4.5272  5.3350  0.7022
 1.5285  2.9326  3.5311  2.8776  3.8037  4.5421  3.4125  4.5271  5.3355  0.7058
 1.5284  2.9371  3.5267  2.8736  3.8223  4.5315  3.4226  4.5272  5.3377  0.7094
 1.5286  2.9417  3.5222  2.8698  3.8409  4.5195  3.4322  4.5275  5.3411  0.7128
 1.5293  2.9465  3.5174  2.8660  3.8595  4.5066  3.4413  4.5280  5.3452  0.7162

 5.0137  4.6231  1.0554  0.0595  0.6417  1.0125  2.6882  0.3066  3.0024  5.1159
 5.0114  4.5985  1.0621  0.0381  0.6333  1.0125  2.6969  0.3231  3.0056  5.1236
 5.0090  4.5740  1.0686  0.0164  0.6248  1.0145  2.7056  0.3378  3.0088  5.1312
 5.0066  4.5495  1.0750  5.6175  0.6161  1.0182  2.7141  0.3509  3.0121  5.1388
 5.0040  4.5247  1.0813 -0.0273  0.6073  1.0233  2.7227  0.3629  3.0154  5.1463

 3.6662  4.3683  3.6189  5.0545  4.6832  1.8754  4.8606  1.5889  0.1202  0.7048
 3.6629  4.3691  3.6168  5.0409  4.6725  1.8908  4.8420  1.5956  0.1263  0.6972
 3.6576  4.3702  3.6150  5.0273  4.6617  1.9070  4.8239  1.6019  0.1308  0.6897
 3.6512  4.3714  3.6135  5.0137  4.6512  1.9239  4.8068  1.6077  0.1343  0.6827
 3.6443  4.3729  3.6121  5.0001  4.6412  1.9414  4.7910  1.6131  0.1371  0.6766

 2.1647  5.3077  5.5078  1.0879  2.0992  1.4813  0.2260  3.0361  1.4054  3.6885
 2.1704  5.3044  5.5250  1.0805  2.1109  1.4920  0.2240  3.0450  1.3985  3.6815
 2.1763  5.3011  5.5421  1.0730  2.1232  1.5032  0.2220  3.0526  1.3923  3.6748
 2.1823  5.2978  5.5588  1.0653  2.1357  1.5149  0.2200  3.0590  1.3875  3.6682
 2.1884  5.2946  5.5747  1.0574  2.1484  1.5272  0.2179  3.0647  1.3844  3.6619

 3.6485  5.3555  4.9262  3.9803  3.4220  4.0410  3.7079  3.1676  2.7791  2.4720
 3.6597  5.3618  4.9217  3.9906  3.4266  4.0363  3.7008  3.1712  2.7742  2.4591
