Atom positions and velocities over time grids from Ground truth
 3.8679  0.5750  2.1688  1.1895  2.9936  1.8817  3.0442  1.4347  4.1138  4.0246
 3.8561  0.5956  2.1840  1.1879  3.0036  1.8941  3.0366  1.4249  4.1088  4.0345
 3.8438  0.6157  2.1994  1.1861  3.0131  1.9072  3.0296  1.4156  4.1040  4.0446
 3.8311  0.6353  2.2150  1.1842  3.0221  1.9209  3.0230  1.4066  4.0993  4.0546

 0.2705  0.8419  2.2351  2.9359  3.4020  3.4654  0.7881  0.8077  3.9449  0.1602
 0.2609  0.8400  2.2242  2.9424  3.3961  3.4612  0.7921  0.8153  3.9304  0.1657
 0.2511  0.8407  2.2103  2.9490  3.3904  3.4567  0.7957  0.8229  3.9168  0.1718
 0.2412  0.8428  2.1943  2.9558  3.3851  3.4517  0.7988  0.8302  3.9045  0.1785

 2.2311  2.5482  3.0217  2.5383  3.7395  4.0317  0.3632  1.2949  3.5384  1.7453
 2.2406  2.5384  3.0341  2.5192  3.7179  4.0258  0.3730  1.2871  3.5465  1.7562
 2.2504  2.5282  3.0467  2.5002  3.6990  4.0199  0.3830  1.2788  3.5543  1.7690
 2.2601  2.5178  3.0561  2.4814  3.6850  4.0138  0.3932  1.2703  3.5614  1.7835

 0.0009  4.0521  0.5189  1.6511  3.1679  1.6045  4.0816  0.1165  0.6741  0.9072
 0.0024  4.0550  0.5425  1.6465  3.1752  1.6008  4.0880  0.1071  0.6654  0.9201
 4.3084  4.0574  0.5658  1.6420  3.1826  1.5970  4.0944  0.0977  0.6590  0.9353
 4.3027  4.0592  0.5887  1.6375  3.1901  1.5932  4.1006  0.0883  0.6552  0.9517

 1.2201  2.3897  2.7555  2.7501  1.8737  4.2471  2.1535  0.0740  0.4933  4.2858
 1.2209  2.3920  2.7486  2.7674  1.8662  4.2510  2.1537  0.0929  0.5042  4.2736
 1.2220  2.3942  2.7414  2.7870  1.8606  4.2532  2.1539  0.1124  0.5154  4.2615
 1.2236  2.3962  2.7340  2.8082  1.8563  4.2538  2.1541  0.1324  0.5268  4.2495

 3.4577  4.1931  0.4190  3.8687  1.3660  0.6259  1.4000  0.0955  1.2490  0.1137
 3.4537  4.1932  0.4159  3.8513  1.3586  0.6130  1.3965  0.1056  1.2382  0.1024
 3.4501  4.1934  0.4128  3.8336  1.3488  0.6004  1.3930  0.1156  1.2276  0.0884
 3.4468  4.1936  0.4097  3.8158  1.3374  0.5882  1.3896  0.1256  1.2172  0.0727

 3.4224  2.7107  2.3592  0.0785  4.0508  1.3228  0.1495  0.4089  0.0661  0.7385
 3.4172  2.7069  2.3489  0.1066  4.0478  1.3358  0.1576  0.4046  0.0681  0.7300
 3.4112  2.7029  2.3361  0.1347  4.0443  1.3488  0.1656  0.4000  0.0690  0.7217
 3.4047  2.6988  2.3214  0.1625  4.0406  1.3617  0.1733  0.3950  0.0688  0.7135

 0.6145  2.9879  0.5568  0.8240  1.7490  3.8625  4.1827  1.3112  1.6669  2.8291
 0.6177  2.9893  0.5727  0.8139  1.7414  3.8507  4.1790  1.3167  1.6813  2.8437
 0.6198  2.9922  0.5885  0.8037  1.7336  3.8387  4.1759  1.3232  1.6957  2.8583
 0.6208  2.9960  0.6043  0.7938  1.7258  3.8268  4.1732  1.3306  1.7100  2.8728

 1.5922  0.5657  4.0138  3.0937  2.0362  3.0195  3.9663  3.2053  3.2635  1.8048
 1.5932  0.5644  4.0245  3.0729  2.0344  3.0137  3.9570  3.2205  3.2713  1.7772
 1.5935  0.5632  4.0332  3.0523  2.0328  3.0079  3.9501  3.2356  3.2761  1.7506
 1.5931  0.5620  4.0390  3.0319  2.0315  3.0021  3.9480  3.2509  3.2760  1.7257

 3.7599  2.4499  0.6456  3.4232  4.0449  0.7362 -1.2048  2.0344  1.5339 -0.1701
 3.7609  2.4454  0.6416  3.4216  4.0597  0.7336 -1.2490  1.9873  1.5469 -0.1847
 3.7623  2.4400  0.6404  3.4195  4.0754  0.7300 -1.2767  1.9403  1.5606 -0.2032
 3.7640  2.4344  0.6429  3.4170  4.0915  0.7249 -1.2702  1.8935  1.5749 -0.2265

 0.9730  1.2727 -0.7298 -0.9518 -0.4862  0.9966 -0.9707 -0.0586 -1.2410  0.6515
 0.9241  1.3414 -0.6792 -0.9163 -0.4746  1.0071 -0.9878  0.1406 -1.4946  0.6736
 0.8819  1.4080 -0.6335 -0.8966 -0.4614  0.9975 -1.0019  0.2225 -1.6596  0.6977
 0.8481  1.4721 -0.5946 -0.8869 -0.4472  0.9671 -1.0127  0.2263 -1.7667  0.7228

-0.5753 -0.4352  0.3761  0.7584 -1.4037  0.5828  0.9635 -1.0003  1.2491 -1.9004
-0.5500 -0.4746  0.3356  0.7447 -1.2932  0.6416  0.9753 -1.0296  1.0985 -1.8898
-0.5165 -0.5152  0.2948  0.7265 -1.1576  0.6912  0.9698 -1.0458  0.6658 -1.8784
-0.4784 -0.5520  0.2555  0.7052 -1.0119  0.7299  0.9498 -1.0535  0.0806 -1.8662

-2.0272 -0.5901  0.9891 -0.8076  0.7935  1.1873 -0.0711  0.2620  2.3445 -0.4535
-1.6458 -0.6020  1.0116 -0.8375  0.7433  1.3632 -0.4326  0.2064  2.3063 -0.4502
-1.0744 -0.6123  1.0229 -0.8420  0.6640  1.5134 -0.6428  0.1610  2.2460 -0.4438
-0.4333 -0.6188  1.0280 -0.8310  0.5668  1.6375 -0.7360  0.1281  2.1493 -0.4314

 0.7347 -0.3785  0.6422 -0.9398 -0.7507  1.4018  0.0953  0.2268 -0.7066  1.8467
 0.7450 -0.3805  0.6328 -0.9367 -0.5092  1.5764  0.1352  0.2072 -0.7282  2.0393
 0.7578 -0.3833  0.5959 -0.9349 -0.2418  1.6694  0.1991  0.1841 -0.7483  2.1689
 0.7730 -0.3873  0.5344 -0.9347  0.0331  1.7084  0.3015  0.1616 -0.7663  2.2467

-0.6545  0.3050  0.0173  1.9234  1.1024 -1.2154 -0.3801  0.0124 -0.3125 -1.7571
-0.4948  0.1422  0.0199  1.9725  1.1285 -1.2037 -0.3455  0.0188 -0.3068 -1.7765
-0.3916 -0.0288  0.0257  2.0132  1.1494 -1.1900 -0.3138  0.0271 -0.3024 -1.7807
-0.3233 -0.1959  0.0331  2.0469  1.1612 -1.1738 -0.2855  0.0377 -0.2980 -1.7726

-0.8577 -1.2724 -0.3502  1.0007 -1.0706 -1.2642 -0.5558 -0.3925 -1.1539  2.8129
-1.0601 -1.2414 -0.3478  1.0006 -1.0542 -1.4822 -0.6215 -0.4048 -1.3745  2.7939
-1.2097 -1.2171 -0.3234  0.9984 -1.0340 -1.6146 -0.6700 -0.4168 -1.5316  2.7418
-1.3085 -1.1986 -0.2792  0.9919 -1.0120 -1.6886 -0.7013 -0.4272 -1.6420  2.6473

-0.3253  1.2993  0.8059 -0.4426  0.1435 -0.8385  0.2675  0.2144  1.5853 -1.0193
-0.3588  1.2941  0.7849 -0.4842  0.0326 -0.8230  0.1548  0.3379  1.5788 -1.0041
-0.3804  1.2845  0.7643 -0.5222 -0.0809 -0.8098  0.0490  0.4081  1.5682 -0.9432
-0.3875  1.2700  0.7444 -0.5556 -0.1930 -0.7988 -0.0383  0.4451  1.5521 -0.8221

-0.7673 -1.1873 -0.3431  0.6018  1.4422  1.4609  0.0682 -0.1252  0.9660 -2.0677
-0.7825 -1.1938 -0.2870  0.6912  1.4365  1.4545 -0.0076 -0.1205  0.7218 -2.0466
-0.7921 -1.1842 -0.2564  0.7794  1.4197  1.4561 -0.0828 -0.1111  0.4075 -2.0324
-0.7949 -1.1613 -0.2428  0.8523  1.3967  1.4650 -0.1537 -0.0982  0.0566 -2.0239

-0.1731 -0.5826 -0.8105  1.5170  0.6307 -2.7072  0.1202 -0.4965 -0.2611 -0.1887
-0.1443 -0.5801 -0.4479  1.5208  0.2354 -2.5721  0.1586 -0.5476  0.0644 -0.2267
-0.1054 -0.5788  0.1367  1.5239 -0.3597 -2.3707  0.1884 -0.5499  0.4510 -0.2515
-0.0578 -0.5771  0.8206  1.5262 -1.0478 -2.0991  0.2130 -0.5242  0.8632 -0.2644

 1.5249 -0.3120
 1.5922 -0.4315
 1.5899 -0.6153
 1.5008 -0.8654
[ CPUFloatType{4,192} ]
