Atom positions and velocities over time grids from Ground truth
 3.7845  0.7092  2.2786  1.1738  3.0552  1.9822  3.0004  1.3712  4.0821  4.0907
 3.7777  0.7265  2.2949  1.1702  3.0631  1.9989  2.9953  1.3624  4.0781  4.0976
 3.7744  0.7433  2.3113  1.1660  3.0709  2.0161  2.9904  1.3536  4.0743  4.1035
 3.7743  0.7597  2.3280  1.1610  3.0787  2.0337  2.9858  1.3449  4.0706  4.1082
 3.7767  0.7756  2.3448  1.1552  3.0864  2.0518  2.9814  1.3362  4.0669  4.1117
 3.7806  0.7911  2.3618  1.1484  3.0940  2.0703  2.9774  1.3276  4.0633  4.1140
 3.7849  0.8061  2.3790  1.1404  3.1014  2.0890  2.9740  1.3192  4.0597  4.1148
 3.7889  0.8208  2.3964  1.1312  3.1087  2.1081  2.9711  1.3110  4.0561  4.1142

 0.2005  0.8502  2.1213  2.9856  3.3676  3.4286  0.8077  0.8575  3.8691  0.2086
 0.1904  0.8510  2.1021  2.9933  3.3643  3.4224  0.8091  0.8638  3.8627  0.2163
 0.1805  0.8516  2.0827  3.0008  3.3613  3.4160  0.8104  0.8698  3.8570  0.2239
 0.1710  0.8518  2.0634  3.0080  3.3589  3.4097  0.8114  0.8757  3.8516  0.2313
 0.1622  0.8520  2.0443  3.0146  3.3568  3.4033  0.8123  0.8814  3.8466  0.2383
 0.1544  0.8521  2.0254  3.0205  3.3551  3.3968  0.8130  0.8870  3.8420  0.2446
 0.1479  0.8521  2.0068  3.0255  3.3539  3.3902  0.8136  0.8925  3.8377  0.2501
 0.1428  0.8520  1.9884  3.0297  3.3531  3.3834  0.8139  0.8979  3.8337  0.2545

 2.2967  2.4756  3.0388  2.4073  3.6850  3.9892  0.4343  1.2379  3.5804  1.8524
 2.3047  2.4651  3.0234  2.3891  3.6917  3.9836  0.4445  1.2305  3.5832  1.8712
 2.3121  2.4545  3.0041  2.3711  3.6988  3.9786  0.4546  1.2233  3.5857  1.8902
 2.3190  2.4440  2.9814  2.3532  3.7061  3.9745  0.4646  1.2165  3.5877  1.9094
 2.3254  2.4334  2.9560  2.3355  3.7135  3.9715  0.4744  1.2102  3.5894  1.9286
 2.3312  2.4228  2.9289  2.3180  3.7209  3.9698  0.4840  1.2045  3.5907  1.9478
 2.3365  2.4121  2.9010  2.3007  3.7285  3.9694  0.4933  1.1997  3.5917  1.9670
 2.3413  2.4014  2.8729  2.2835  3.7362  3.9704  0.5024  1.1960  3.5924  1.9860

 4.2738  4.0637  0.6674  1.6214  3.2218  1.5774  4.1187  0.0509  0.6666  1.0199
 4.2679  4.0647  0.6809  1.6186  3.2302  1.5733  4.1211  0.0414  0.6747  1.0366
 4.2628  4.0658  0.6911  1.6168  3.2389  1.5690  4.1229  0.0319  0.6840  1.0530
 4.2585  4.0670  0.6985  1.6162  3.2478  1.5645  4.1243  0.0223  0.6940  1.0691
 4.2548  4.0685  0.7039  1.6173  3.2569  1.5598  4.1254  0.0126  0.7040  1.0849
 4.2514  4.0704  0.7084  1.6202  3.2662  1.5549  4.1265  0.0029  0.7134  1.1005
 4.2483  4.0727  0.7128  1.6252  3.2757  1.5496  4.1277  4.3020  0.7216  1.1158
 4.2454  4.0757  0.7179  1.6321  3.2852  1.5440  4.1294 -0.0166  0.7283  1.1308

 1.2434  2.4022  2.7028  2.8993  1.8451  4.2402  2.1558  0.2153  0.5728  4.2034
 1.2551  2.4036  2.6948  2.9224  1.8431  4.2337  2.1564  0.2365  0.5834  4.1924
 1.2705  2.4051  2.6868  2.9455  1.8414  4.2262  2.1571  0.2579  0.5930  4.1816
 1.2894  2.4066  2.6791  2.9685  1.8399  4.2178  2.1579  0.2793  0.6014  4.1711
 1.3110  2.4077  2.6718  2.9914  1.8387  4.2086  2.1587  0.3007  0.6080  4.1609
 1.3342  2.4082  2.6650  3.0141  1.8378  4.1987  2.1597  0.3219  0.6127  4.1509
 1.3580  2.4079  2.6592  3.0368  1.8373  4.1880  2.1606  0.3428  0.6153  4.1413
 1.3815  2.4069  2.6543  3.0593  1.8372  4.1766  2.1617  0.3632  0.6158  4.1319

 3.4362  4.1957  0.3981  3.7457  1.2858  0.5407  1.3801  0.1647  1.1776  0.0042
 3.4338  4.1966  0.3953  3.7288  1.2759  0.5290  1.3784  0.1742  1.1682  4.2958
 3.4315  4.1977  0.3927  3.7123  1.2688  0.5173  1.3767  0.1837  1.1591  4.2786
 3.4290  4.1991  0.3903  3.6961  1.2644  0.5057  1.3749  0.1934  1.1502  4.2618
 3.4264  4.2006  0.3879  3.6803  1.2624  0.4940  1.3731  0.2033  1.1414  4.2452
 3.4237  4.2024  0.3856  3.6648  1.2625  0.4824  1.3713  0.2137  1.1329  4.2288
 3.4207  4.2043  0.3835  3.6496  1.2642  0.4707  1.3697  0.2245  1.1245  4.2128
 3.4176  4.2066  0.3814  3.6349  1.2673  0.4590  1.3683  0.2359  1.1163 -0.1117

 3.3765  2.6815  2.2524  0.2609  4.0256  1.4116  0.2024  0.3717  0.0570  0.6819
 3.3699  2.6772  2.2329  0.2788  4.0221  1.4234  0.2092  0.3655  0.0519  0.6742
 3.3636  2.6730  2.2124  0.2927  4.0185  1.4347  0.2158  0.3593  0.0463  0.6664
 3.3580  2.6690  2.1909  0.3027  4.0143  1.4456  0.2224  0.3531  0.0404  0.6587
 3.3531  2.6652  2.1684  0.3092  4.0092  1.4560  0.2287  0.3471  0.0343  0.6510
 3.3489  2.6617  2.1452  0.3130  4.0028  1.4658  0.2350  0.3415  0.0282  0.6433
 3.3455  2.6584  2.1214  0.3144  3.9945  1.4752  0.2411  0.3363  0.0221  0.6357
 3.3430  2.6555  2.0970  0.3138  3.9841  1.4840  0.2471  0.3317  0.0163  0.6280

 0.6174  3.0144  0.6654  0.7706  1.6944  3.7815  4.1635  1.3658  1.7648  2.9321
 0.6162  3.0191  0.6801  0.7725  1.6873  3.7709  4.1609  1.3744  1.7778  2.9474
 0.6154  3.0240  0.6946  0.7780  1.6810  3.7605  4.1581  1.3824  1.7906  2.9630
 0.6153  3.0288  0.7091  0.7860  1.6759  3.7502  4.1550  1.3894  1.8031  2.9787
 0.6165  3.0337  0.7236  0.7949  1.6727  3.7401  4.1517  1.3953  1.8153  2.9947
 0.6193  3.0387  0.7380  0.8030  1.6722  3.7301  4.1480  1.4001  1.8272  3.0108
 0.6244  3.0436  0.7524  0.8089  1.6752  3.7202  4.1439  1.4037  1.8389  3.0270
 0.6320  3.0485  0.7666  0.8116  1.6821  3.7103  4.1392  1.4062  1.8503  3.0432

 1.5846  0.5587  4.0288  2.9511  2.0315  2.9791  3.9999  3.3120  3.2145  1.6555
 1.5813  0.5584  4.0203  2.9309  2.0331  2.9735  4.0200  3.3273  3.1915  1.6465
 1.5777  0.5582  4.0107  2.9108  2.0354  2.9680  4.0401  3.3426  3.1681  1.6401
 1.5740  0.5582  4.0006  2.8907  2.0384  2.9626  4.0597  3.3579  3.1447  1.6359
 1.5702  0.5583  3.9903  2.8707  2.0421  2.9573  4.0783  3.3732  3.1215  1.6331
 1.5664  0.5586  3.9800  2.8510  2.0464  2.9522  4.0954  3.3885  3.0987  1.6314
 1.5626  0.5591  3.9697  2.8315  2.0514  2.9471  4.1103  3.4038  3.0762  1.6305
 1.5588  0.5597  3.9596  2.8125  2.0569  2.9422  4.1225  3.4191  3.0540  1.6300

 3.7734  2.4150  0.6916  3.4065  4.1418  0.6778 -0.5063  1.7073  1.6383 -0.3919
 3.7762  2.4110  0.7106  3.4041  4.1459  0.6585 -0.1710  1.6603  1.6554 -0.4583
 3.7792  2.4073  0.7309  3.4019  4.1457  0.6369  0.1175  1.6137  1.6729 -0.5376
 3.7823  2.4037  0.7517  3.3999  4.1417  0.6140  0.3137  1.5682  1.6907 -0.6309
