Atom positions and velocities over time grids from ground truth
 3.8311  0.6353  2.2150  1.1842  3.0221  1.9209  3.0230  1.4066  4.0993  4.0546
 3.8182  0.6545  2.2306  1.1820  3.0307  1.9353  3.0169  1.3977  4.0948  4.0645
 3.8057  0.6732  2.2465  1.1796  3.0391  1.9504  3.0111  1.3889  4.0904  4.0740
 3.7941  0.6914  2.2624  1.1769  3.0472  1.9660  3.0056  1.3800  4.0862  4.0828
 3.7845  0.7092  2.2786  1.1738  3.0552  1.9822  3.0004  1.3712  4.0821  4.0907

 0.2412  0.8428  2.1943  2.9558  3.3851  3.4517  0.7988  0.8302  3.9045  0.1785
 0.2311  0.8452  2.1771  2.9629  3.3801  3.4464  0.8016  0.8374  3.8937  0.1857
 0.2209  0.8473  2.1590  2.9703  3.3755  3.4407  0.8039  0.8443  3.8843  0.1931
 0.2107  0.8490  2.1403  2.9779  3.3714  3.4347  0.8059  0.8510  3.8762  0.2008
 0.2005  0.8502  2.1213  2.9856  3.3676  3.4286  0.8077  0.8575  3.8691  0.2086

 2.2601  2.5178  3.0561  2.4814  3.6850  4.0138  0.3932  1.2703  3.5614  1.7835
 2.2698  2.5073  3.0600  2.4627  3.6775  4.0076  0.4035  1.2619  3.5676  1.7993
 2.2791  2.4967  3.0577  2.4441  3.6763  4.0014  0.4138  1.2537  3.5727  1.8162
 2.2881  2.4862  3.0503  2.4256  3.6795  3.9952  0.4241  1.2457  3.5769  1.8340
 2.2967  2.4756  3.0388  2.4073  3.6850  3.9892  0.4343  1.2379  3.5804  1.8524

 4.3027  4.0592  0.5887  1.6375  3.1901  1.5932  4.1006  0.0883  0.6552  0.9517
 4.2955  4.0606  0.6107  1.6331  3.1978  1.5893  4.1063  0.0790  0.6542  0.9687
 4.2879  4.0617  0.6316  1.6289  3.2056  1.5854  4.1113  0.0696  0.6559  0.9858
 4.2806  4.0627  0.6507  1.6249  3.2136  1.5815  4.1154  0.0603  0.6601  1.0030
 4.2738  4.0637  0.6674  1.6214  3.2218  1.5774  4.1187  0.0509  0.6666  1.0199

 1.2236  2.3962  2.7340  2.8082  1.8563  4.2538  2.1541  0.1324  0.5268  4.2495
 1.2260  2.3979  2.7264  2.8304  1.8528  4.2527  2.1544  0.1527  0.5384  4.2377
 1.2296  2.3994  2.7187  2.8531  1.8499  4.2499  2.1548  0.1733  0.5500  4.2261
 1.2352  2.4008  2.7108  2.8762  1.8473  4.2457  2.1552  0.1942  0.5616  4.2146
 1.2434  2.4022  2.7028  2.8993  1.8451  4.2402  2.1558  0.2153  0.5728  4.2034

 3.4468  4.1936  0.4097  3.8158  1.3374  0.5882  1.3896  0.1256  1.2172  0.0727
